country,Year,GDP,Population,Suicide
Cameroon,2005,2.15,0.114,1580
Cameroon,2006,2.67,0.113,1620
Cameroon,2007,2.28,0.112,1680
Cameroon,2008,3.05,0.111,1730
Cameroon,2009,1.29,0.11,1760
Cameroon,2010,3.03,0.11,1820
Cameroon,2011,3.79,0.108,1880
Cameroon,2012,4.26,0.107,1930
Cameroon,2013,4.31,0.107,1990
Canada,1990,0.103,0.0699,3930
Canada,1991,-2.04,0.069,3980
Canada,1992,0.624,0.0683,4040
Canada,1993,2.07,0.0678,4100
Canada,1994,4.69,0.0676,4140
Canada,1995,2.57,0.0676,4200
Canada,1996,1.34,0.0676,4240
Canada,1997,4.07,0.0678,4240
Canada,1998,3.96,0.068,4230
Canada,1999,5.35,0.0682,4240
Canada,2000,5.13,0.0683,4170
Canada,2001,1.36,0.0684,4180
Canada,2002,3.37,0.0683,4190
Canada,2003,1.97,0.068,4240
Canada,2004,3.2,0.0677,4230
Canada,2005,3.21,0.0675,4260
Canada,2006,2.7,0.0677,4240
Canada,2007,2.08,0.0677,4270
Canada,2008,0.996,0.0674,4300
Canada,2009,-2.98,0.0666,4330
Canada,2010,2.98,0.0653,4340
Canada,2011,2.48,0.0647,4330
Canada,2012,1.49,0.0639,4390
Canada,2013,1.77,0.0626,4450
Cape Verde,1990,3.76,0.107,31.5
Cape Verde,1991,0.779,0.105,33.8
Cape Verde,1992,1.17,0.103,35.9
Cape Verde,1993,1.39,0.102,38.4
Cape Verde,1994,7.83,0.102,41.4
Cape Verde,1995,8.97,0.103,44.8
Cape Verde,1996,7.66,0.104,44.1
Cape Verde,1997,8.67,0.107,46.6
Cape Verde,1998,8.22,0.11,48.3
Cape Verde,1999,9.49,0.114,49.7
Cape Verde,2000,7.61,0.118,51.3
Cape Verde,2001,6.92,0.121,56.1
Cape Verde,2002,5.89,0.123,58.3
Cape Verde,2003,5.47,0.126,60.7
Cape Verde,2004,5.06,0.127,63.5
Cape Verde,2005,6.51,0.129,65.9
Cape Verde,2006,9.74,0.128,68.3
Cape Verde,2007,8.15,0.126,70.3
Cape Verde,2008,5.66,0.125,72.4
Cape Verde,2009,3.18,0.123,74.8
Cape Verde,2010,4.68,0.121,77.6
Cape Verde,2011,4.56,0.116,79.8
Cape Verde,2012,1.17,0.111,80.4
Cape Verde,2013,0.259,0.105,82.1
Central African Republic,1990,3.09,0.102,249
Central African Republic,1991,-1.01,0.102,260
Central African Republic,1992,-6.69,0.103,264
Central African Republic,1993,-0.138,0.103,276
Central African Republic,1994,6.26,0.103,286
Central African Republic,1995,5.47,0.103,292
Central African Republic,1996,-7.28,0.104,305
Central African Republic,1997,7.76,0.105,309
Central African Republic,1998,3.81,0.106,321
Central African Republic,1999,3.56,0.107,332
Central African Republic,2000,1.72,0.108,336
Central African Republic,2001,0.61,0.108,341
Central African Republic,2002,-0.348,0.108,350
Central African Republic,2003,-7.61,0.109,355
Central African Republic,2004,1.49,0.109,361
Central African Republic,2005,2.26,0.109,368
Central African Republic,2006,4.5,0.109,377
Central African Republic,2007,4.4,0.108,380
Central African Republic,2008,1.91,0.108,382
Central African Republic,2009,-0.0427,0.108,388
Central African Republic,2010,2.46,0.109,406
Central African Republic,2011,2.75,0.109,416
Central African Republic,2012,4.13,0.11,420
Central African Republic,2013,-36,0.111,433
Chad,1990,-6.11,0.101,258
Chad,1991,10,0.102,258
Chad,1992,2.31,0.102,273
Chad,1993,-2.24,0.103,291
Chad,1994,5.09,0.103,300
Chad,1995,0.379,0.103,309
Chad,1996,3.07,0.103,339
Chad,1997,4.2,0.104,364
Chad,1998,7.74,0.104,388
Chad,1999,2.41,0.104,413
Chad,2000,1.25,0.104,430
Chad,2001,10.4,0.105,440
Chad,2002,10.6,0.105,451
Chad,2003,15.4,0.105,471
Chad,2004,34.3,0.106,484
Chad,2005,8.21,0.106,492
Chad,2006,0.687,0.107,501
Chad,2007,0.528,0.107,521
Chad,2008,1.87,0.108,540
Chad,2009,-1.05,0.108,557
Chad,2010,13.2,0.109,581
Chad,2011,0.683,0.109,589
Chad,2012,9.04,0.11,598
Chad,2013,3.76,0.11,603
Chile,1990,3.7,0.0936,2440
Chile,1991,8.1,0.0923,2310
Chile,1992,12.5,0.0912,2190
Chile,1993,7.26,0.0902,2160
Chile,1994,8.13,0.0893,2150
Chile,1995,8.61,0.0884,2180
Chile,1996,7.55,0.0875,2170
Chile,1997,6.68,0.0865,2140
Chile,1998,3.27,0.0857,2110
Chile,1999,-0.729,0.0852,2060
Chile,2000,4.54,0.085,1980
Chile,2001,3.43,0.0852,1950
Chile,2002,2.23,0.0857,1940
Chile,2003,3.96,0.0864,1940
Chile,2004,6.25,0.0869,1960
Chile,2005,6.36,0.0874,1960
Chile,2006,5.83,0.0877,1970
Chile,2007,5.2,0.0878,2020
Chile,2008,3.04,0.0876,2080
Chile,2009,-0.91,0.0869,2120
Chile,2010,5.73,0.0857,2120
Chile,2011,5.92,0.084,2100
Chile,2012,5.45,0.0818,2070
Chile,2013,4.21,0.0793,2050
China,1990,5.37,0.106,237000
China,1991,6.19,0.101,242000
China,1992,8.75,0.0948,245000
China,1993,12.2,0.0891,247000
China,1994,8.81,0.0841,249000
China,1995,12.7,0.0803,246000
China,1996,3.42,0.0781,241000
China,1997,6.24,0.0767,236000
China,1998,-0.849,0.0762,229000
China,1999,4.95,0.0772,218000
China,2000,5.63,0.0797,205000
China,2001,6.95,0.0832,193000
China,2002,10.9,0.0884,189000
China,2003,8.21,0.094,188000
China,2004,10.2,0.0978,186000
China,2005,10.1,0.0984,180000
China,2006,12.4,0.0963,174000
China,2007,11.2,0.0911,167000
China,2008,2.2,0.0841,161000
China,2009,7.5,0.0775,156000
China,2010,7.34,0.0724,151000
China,2011,5.56,0.0686,144000
China,2012,7.6,0.0662,138000
China,2013,7.6,0.0648,135000
Colombia,1990,5.09,0.102,1800
Colombia,1991,2.32,0.101,1950
Colombia,1992,4.27,0.101,2010
Colombia,1993,5.63,0.101,2060
Colombia,1994,5.08,0.101,2160
Colombia,1995,5.15,0.101,2310
Colombia,1996,1.96,0.101,2480
Colombia,1997,3.39,0.101,2530
Colombia,1998,0.494,0.1,2690
Colombia,1999,-4.34,0.0996,2880
Colombia,2000,2.92,0.099,3040
Colombia,2001,1.45,0.0983,3160
Colombia,2002,1.93,0.0975,3230
Colombia,2003,3.89,0.0967,3010
Colombia,2004,4.93,0.0962,2960
Colombia,2005,5.31,0.096,2820
Colombia,2006,7.03,0.0959,2850
Colombia,2007,7.22,0.0962,2780
Colombia,2008,3.83,0.0965,2840
Colombia,2009,1.91,0.0966,2960
Colombia,2010,4.2,0.0962,2890
Colombia,2011,6.83,0.0955,2770
Colombia,2012,4.36,0.0943,2770
Colombia,2013,4.37,0.0928,2730
Comoros,1990,0.853,0.103,18.7
Comoros,1991,1.78,0.103,19.3
Comoros,1992,3.47,0.103,19.9
Comoros,1993,3.01,0.104,20.5
Comoros,1994,-5.28,0.104,21.2
Comoros,1995,3.61,0.105,22
Comoros,1996,-1.34,0.107,22.6
Comoros,1997,4.22,0.108,23.3
Comoros,1998,1.15,0.109,21.9
Comoros,1999,1.92,0.111,21.5
Comoros,2000,1.42,0.112,21.7
Comoros,2001,3.33,0.112,21.6
Comoros,2002,4.15,0.113,21.9
Comoros,2003,2.48,0.113,22
Comoros,2004,-0.24,0.113,27
Comoros,2005,4.23,0.113,27.6
Comoros,2006,1.24,0.112,28.5
Comoros,2007,0.491,0.112,29.2
Comoros,2008,0.975,0.111,30.3
Comoros,2009,1.81,0.11,30.9
Comoros,2010,2.05,0.109,31.7
Comoros,2011,2.23,0.108,33.2
Comoros,2012,3.44,0.107,34.4
Comoros,2013,3.96,0.106,35.4
"Congo, Dem. Rep.",1990,-6.58,0.103,1940
"Congo, Dem. Rep.",1991,-7.48,0.102,2040
"Congo, Dem. Rep.",1992,-10.5,0.102,2100
"Congo, Dem. Rep.",1993,-13.5,0.102,2120
"Congo, Dem. Rep.",1994,-3.87,0.102,2200
"Congo, Dem. Rep.",1995,0.694,0.103,2330
"Congo, Dem. Rep.",1996,-1.1,0.103,2480
"Congo, Dem. Rep.",1997,-5.41,0.103,2420
"Congo, Dem. Rep.",1998,-1.74,0.103,2510
"Congo, Dem. Rep.",1999,-4.27,0.103,2590
"Congo, Dem. Rep.",2000,-6.9,0.104,2670
"Congo, Dem. Rep.",2001,-2.1,0.104,2760
"Congo, Dem. Rep.",2002,3.47,0.104,2780
"Congo, Dem. Rep.",2003,5.79,0.104,2970
"Congo, Dem. Rep.",2004,6.64,0.104,2960
"Congo, Dem. Rep.",2005,7.8,0.104,3020
"Congo, Dem. Rep.",2006,5.58,0.104,3120
"Congo, Dem. Rep.",2007,6.26,0.103,3210
"Congo, Dem. Rep.",2008,6.16,0.103,3380
"Congo, Dem. Rep.",2009,2.77,0.103,3480
"Congo, Dem. Rep.",2010,7.19,0.103,3600
"Congo, Dem. Rep.",2011,6.92,0.103,3750
"Congo, Dem. Rep.",2012,6.83,0.103,3910
"Congo, Dem. Rep.",2013,8.11,0.103,4020
"Congo, Rep.",1990,1,0.112,196
"Congo, Rep.",1991,2.4,0.112,192
"Congo, Rep.",1992,2.61,0.113,195
"Congo, Rep.",1993,-0.98,0.113,204
"Congo, Rep.",1994,-5.49,0.114,219
"Congo, Rep.",1995,3.98,0.113,231
"Congo, Rep.",1996,4.29,0.113,240
"Congo, Rep.",1997,-0.625,0.112,253
"Congo, Rep.",1998,3.74,0.111,249
"Congo, Rep.",1999,-2.58,0.11,254
"Congo, Rep.",2000,7.57,0.109,249
"Congo, Rep.",2001,3.81,0.108,236
"Congo, Rep.",2002,4.58,0.107,227
"Congo, Rep.",2003,0.808,0.106,235
"Congo, Rep.",2004,3.57,0.105,235
"Congo, Rep.",2005,7.65,0.104,236
"Congo, Rep.",2006,6.24,0.103,237
"Congo, Rep.",2007,-1.59,0.102,243
"Congo, Rep.",2008,5.93,0.101,249
"Congo, Rep.",2009,7.5,0.0997,251
"Congo, Rep.",2010,8.71,0.0989,251
"Congo, Rep.",2011,4.46,0.0983,251
"Congo, Rep.",2012,3.16,0.0982,260
"Congo, Rep.",2013,4.47,0.0985,267
Costa Rica,1990,3.64,0.0888,166
Costa Rica,1991,2.27,0.0884,170
Costa Rica,1992,7.24,0.0891,177
Costa Rica,1993,6,0.0904,186
Costa Rica,1994,4.6,0.0918,196
Costa Rica,1995,2.61,0.093,208
Costa Rica,1996,1.43,0.0943,220
Costa Rica,1997,6.26,0.0953,228
Costa Rica,1998,9.13,0.0961,243
Costa Rica,1999,10.1,0.0969,251
Costa Rica,2000,2.76,0.0977,260
Costa Rica,2001,1.53,0.0984,266
Costa Rica,2002,3.29,0.0991,284
Costa Rica,2003,6.84,0.0997,296
Costa Rica,2004,4.36,0.0998,304
Costa Rica,2005,6.14,0.0994,307
Costa Rica,2006,8.38,0.0987,312
Costa Rica,2007,7.48,0.0974,312
Costa Rica,2008,2.26,0.0958,311
Costa Rica,2009,-1.41,0.094,320
Costa Rica,2010,7.59,0.0922,325
Costa Rica,2011,4.51,0.0903,331
Costa Rica,2012,5.25,0.0884,333
Costa Rica,2013,2.63,0.0865,339
Cote d'Ivoire,1990,-1.23,0.0986,901
Cote d'Ivoire,1991,0.0566,0.1,948
Cote d'Ivoire,1992,-0.623,0.102,1020
Cote d'Ivoire,1993,-0.399,0.104,1100
Cote d'Ivoire,1994,2.14,0.105,1180
Cote d'Ivoire,1995,7.05,0.106,1270
Cote d'Ivoire,1996,6.75,0.106,1310
Cote d'Ivoire,1997,5.68,0.106,1330
Cote d'Ivoire,1998,5.13,0.106,1380
Cote d'Ivoire,1999,1.94,0.106,1410
Cote d'Ivoire,2000,-2.67,0.106,1450
Cote d'Ivoire,2001,0.116,0.106,1470
Cote d'Ivoire,2002,-1.67,0.105,1470
Cote d'Ivoire,2003,-1.36,0.105,1490
Cote d'Ivoire,2004,1.23,0.106,1520
Cote d'Ivoire,2005,1.72,0.106,1530
Cote d'Ivoire,2006,0.698,0.107,1570
Cote d'Ivoire,2007,1.61,0.107,1580
Cote d'Ivoire,2008,2.32,0.108,1600
Cote d'Ivoire,2009,3.8,0.108,1630
Cote d'Ivoire,2010,3,0.109,1680
Cote d'Ivoire,2011,-4.73,0.11,1750
Cote d'Ivoire,2012,8.9,0.11,1820
Cote d'Ivoire,2013,7.29,0.111,1880
Croatia,1990,-7.25,0.0699,1250
Croatia,1991,-21.1,0.0695,1240
Croatia,1992,-11.7,0.0689,1250
Croatia,1993,-8.05,0.0685,1240
Croatia,1994,5.88,0.0684,1230
Croatia,1995,6.86,0.0686,1200
Croatia,1996,5.97,0.0686,1180
Croatia,1997,6.89,0.0686,1140
Croatia,1998,2.59,0.0685,1120
Croatia,1999,-0.892,0.0684,1090
Croatia,2000,2.66,0.0682,1050
Croatia,2001,4.05,0.0679,1020
Croatia,2002,4.67,0.0676,994
Croatia,2003,3.67,0.067,975
Croatia,2004,3.23,0.0661,966
Croatia,2005,5.75,0.0647,952
Croatia,2006,4.79,0.0628,933
Croatia,2007,4.97,0.0606,912
Croatia,2008,1.95,0.0583,895
Croatia,2009,-7,0.0566,882
Croatia,2010,-2.2,0.0557,868
Croatia,2011,0.139,0.0557,844
Croatia,2012,-2.05,0.0564,835
Croatia,2013,-1.2,0.0573,818
Cuba,1990,-0.219,0.104,2180
Cuba,1991,-11.7,0.0983,2220
Cuba,1992,-13.9,0.0909,2250
Cuba,1993,-16,0.0829,2260
Cuba,1994,2,0.0758,2260
Cuba,1995,3.41,0.0707,2230
Cuba,1996,8.72,0.0673,2190
Cuba,1997,3.33,0.0656,2160
Cuba,1998,1.23,0.0653,2120
Cuba,1999,6.64,0.066,2050
Cuba,2000,5.35,0.0673,1960
Cuba,2001,2.86,0.0689,1870
Cuba,2002,1.45,0.0713,1810
Cuba,2003,2.81,0.0738,1750
Cuba,2004,6.07,0.0755,1710
Cuba,2005,7.88,0.0758,1670
Cuba,2006,12.1,0.0754,1640
Cuba,2007,7.26,0.0734,1630
Cuba,2008,4.12,0.0705,1630
Cuba,2009,1.45,0.0678,1650
Cuba,2010,2.39,0.0659,1670
Cuba,2011,2.71,0.0647,1670
Cuba,2012,3.06,0.0642,1680
Cuba,2013,0,0.0641,1690
Cyprus,1990,7.38,0.0748,39.8
Cyprus,1991,0.198,0.0757,41
Cyprus,1992,8.93,0.0767,41
Cyprus,1993,0.477,0.0768,41.8
Cyprus,1994,5.94,0.0761,43.5
Cyprus,1995,10.3,0.075,43.4
Cyprus,1996,2.33,0.0775,43.4
Cyprus,1997,2.91,0.0801,44.1
Cyprus,1998,5.75,0.0819,44.6
Cyprus,1999,5.69,0.0823,44.5
Cyprus,2000,5.95,0.0815,44.7
Cyprus,2001,4.82,0.0824,44.2
Cyprus,2002,2.84,0.0827,44.2
Cyprus,2003,2.22,0.082,44
Cyprus,2004,3.67,0.0805,44.3
Cyprus,2005,2.75,0.0789,44.4
Cyprus,2006,3.77,0.0798,43.9
Cyprus,2007,4.03,0.0809,45.2
Cyprus,2008,2.25,0.0812,45.6
Cyprus,2009,-3.32,0.0803,46.5
Cyprus,2010,0.00511,0.0784,46.7
Cyprus,2011,-0.91,0.0779,46.2
Cyprus,2012,-2.42,0.0767,46
Cyprus,2013,-6.02,0.0742,47.5
Czech Republic,1990,-2.89,0.0815,2210
Czech Republic,1991,-11.6,0.0838,2190
Czech Republic,1992,-0.49,0.0858,2150
Czech Republic,1993,0.0883,0.0871,2100
Czech Republic,1994,2.24,0.0873,2040
Czech Republic,1995,5.96,0.0861,1960
Czech Republic,1996,4.06,0.0835,1890
Czech Republic,1997,-0.685,0.0796,1850
Czech Republic,1998,-0.721,0.0748,1820
Czech Republic,1999,1.36,0.0705,1800
Czech Republic,2000,3.64,0.0673,1790
Czech Republic,2001,2.4,0.0653,1780
Czech Republic,2002,1.81,0.0643,1780
Czech Republic,2003,3.54,0.064,1780
Czech Republic,2004,4.54,0.0639,1760
Czech Republic,2005,6.6,0.0634,1730
Czech Republic,2006,7.1,0.0632,1700
Czech Republic,2007,5.93,0.0626,1690
Czech Republic,2008,2.8,0.0617,1690
Czech Republic,2009,-4.73,0.06,1700
Czech Republic,2010,2.63,0.0576,1710
Czech Republic,2011,2.07,0.0548,1700
Czech Republic,2012,-0.903,0.0514,1690
Czech Republic,2013,-0.747,0.0479,1650
Denmark,1990,1.4,0.0714,1520
Denmark,1991,1.45,0.0698,1470
Denmark,1992,2.11,0.0679,1430
Denmark,1993,0.0877,0.0659,1390
Denmark,1994,5.74,0.0638,1320
Denmark,1995,3.09,0.0615,1250
Denmark,1996,2.82,0.0593,1190
Denmark,1997,3.35,0.0571,1120
Denmark,1998,2.35,0.0549,1050
Denmark,1999,2.76,0.0533,1010
Denmark,2000,3.74,0.0523,957
Denmark,2001,0.811,0.0524,928
Denmark,2002,0.504,0.0531,903
Denmark,2003,0.419,0.0543,875
Denmark,2004,2.18,0.0556,854
Denmark,2005,3.21,0.057,832
Denmark,2006,3.53,0.0589,820
Denmark,2007,1.71,0.0608,804
Denmark,2008,-0.795,0.0623,789
Denmark,2009,-5.81,0.0632,776
Denmark,2010,1.61,0.0636,755
Denmark,2011,1.04,0.0646,743
Denmark,2012,-0.355,0.0651,733
Denmark,2013,0.566,0.0649,722
Djibouti,1990,1.31,0.105,18.6
Djibouti,1991,1.43,0.105,19.5
Djibouti,1992,-0.375,0.107,20.3
Djibouti,1993,-4.69,0.109,21
Djibouti,1994,-1.68,0.111,21.8
Djibouti,1995,-2.91,0.111,22.5
Djibouti,1996,-3.41,0.111,23.4
Djibouti,1997,1.59,0.109,24.2
Djibouti,1998,2.43,0.107,24.9
Djibouti,1999,4.68,0.106,25.4
Djibouti,2000,2.48,0.106,25.8
Djibouti,2001,2.7,0.107,26.3
Djibouti,2002,2.58,0.111,26.9
Djibouti,2003,3.12,0.114,27.8
Djibouti,2004,2.39,0.117,28.6
Djibouti,2005,2.96,0.119,29.5
Djibouti,2006,3.84,0.117,30.3
Djibouti,2007,4.17,0.114,31.4
Djibouti,2008,4.91,0.111,32.5
Djibouti,2009,4.13,0.107,33.5
Djibouti,2010,2.59,0.104,34.5
Djibouti,2011,3.55,0.103,35.4
Djibouti,2012,3.92,0.102,36.5
Djibouti,2013,4.07,0.101,37.4
Dominican Republic,1990,-4.73,0.11,268
Dominican Republic,1991,0.857,0.109,283
Dominican Republic,1992,6.52,0.108,300
Dominican Republic,1993,2.22,0.107,319
Dominican Republic,1994,4.53,0.106,341
Dominican Republic,1995,4.64,0.106,365
Dominican Republic,1996,7.25,0.105,389
Dominican Republic,1997,8.33,0.105,408
Dominican Republic,1998,7.3,0.104,421
Dominican Republic,1999,7.99,0.104,442
Dominican Republic,2000,8.97,0.104,464
Dominican Republic,2001,3.62,0.103,482
Dominican Republic,2002,4.42,0.102,501
Dominican Republic,2003,2.79,0.102,516
Dominican Republic,2004,6.28,0.102,526
Dominican Republic,2005,8.48,0.102,525
Dominican Republic,2006,10.3,0.102,526
Dominican Republic,2007,8.07,0.102,518
Dominican Republic,2008,4.83,0.102,514
Dominican Republic,2009,3.01,0.102,507
Dominican Republic,2010,7.25,0.102,507
Dominican Republic,2011,3.96,0.101,503
Dominican Republic,2012,3.35,0.0994,515
Dominican Republic,2013,3.52,0.0978,529
Ecuador,1990,2.57,0.108,551
Ecuador,1991,5.26,0.107,579
Ecuador,1992,3.1,0.107,617
Ecuador,1993,2.17,0.106,662
Ecuador,1994,4.33,0.105,704
Ecuador,1995,2.83,0.104,750
Ecuador,1996,1.69,0.103,817
Ecuador,1997,3,0.103,852
Ecuador,1998,0.0661,0.102,881
Ecuador,1999,-7.42,0.102,919
Ecuador,2000,-14.4,0.102,940
Ecuador,2001,5.22,0.101,968
Ecuador,2002,1.03,0.101,995
Ecuador,2003,4.16,0.101,1040
Ecuador,2004,8.58,0.101,1080
Ecuador,2005,5.22,0.1,1120
Ecuador,2006,4.51,0.0999,1140
Ecuador,2007,2.24,0.0992,1180
Ecuador,2008,6.36,0.0986,1210
Ecuador,2009,0.997,0.098,1230
Ecuador,2010,3.19,0.0975,1240
Ecuador,2011,7.87,0.0971,1250
Ecuador,2012,4.81,0.0967,1250
Ecuador,2013,3.92,0.0964,1240
Egypt,1990,1.91,0.0974,1700
Egypt,1991,-3.76,0.0976,1710
Egypt,1992,2.94,0.0984,1710
Egypt,1993,1.18,0.0998,1770
Egypt,1994,3.5,0.101,1840
Egypt,1995,4.16,0.103,1850
Egypt,1996,4.49,0.105,1910
Egypt,1997,4.98,0.106,1960
Egypt,1998,5.23,0.108,1970
Egypt,1999,5.68,0.109,2030
Egypt,2000,5.12,0.111,2040
Egypt,2001,3.33,0.112,2160
Egypt,2002,3.1,0.113,2230
Egypt,2003,3.17,0.113,2300
Egypt,2004,4.11,0.113,2350
Egypt,2005,4.54,0.112,2400
Egypt,2006,6.83,0.11,2490
Egypt,2007,5.63,0.108,2530
Egypt,2008,6.76,0.105,2630
Egypt,2009,4.18,0.102,2750
Egypt,2010,4.55,0.0995,2840
Egypt,2011,1.36,0.0974,2910
Egypt,2012,1.33,0.0957,2980
Egypt,2013,1.79,0.0942,2970
El Salvador,1990,2.72,0.108,650
El Salvador,1991,2.63,0.108,634
El Salvador,1992,7.14,0.107,618
El Salvador,1993,6.15,0.107,615
El Salvador,1994,5.6,0.106,624
El Salvador,1995,5.54,0.105,627
El Salvador,1996,0.916,0.103,618
El Salvador,1997,3.17,0.102,607
El Salvador,1998,2.5,0.101,589
El Salvador,1999,2.03,0.0994,580
El Salvador,2000,0.791,0.0986,568
El Salvador,2001,0.263,0.0981,564
El Salvador,2002,0.736,0.0981,561
El Salvador,2003,0.313,0.0985,562
El Salvador,2004,0.328,0.0994,561
El Salvador,2005,1.36,0.101,561
El Salvador,2006,3.98,0.102,562
El Salvador,2007,3.78,0.104,566
El Salvador,2008,1.25,0.106,568
El Salvador,2009,-3.02,0.107,577
El Salvador,2010,1.5,0.109,582
El Salvador,2011,2.12,0.109,591
El Salvador,2012,1.88,0.11,586
El Salvador,2013,1.82,0.109,569
Equatorial Guinea,1990,-2.26,0.0865,38.3
Equatorial Guinea,1991,-1.04,0.0873,39
Equatorial Guinea,1992,34.7,0.0883,39.4
Equatorial Guinea,1993,11,0.0895,40.3
Equatorial Guinea,1994,16.7,0.091,40.9
Equatorial Guinea,1995,17.5,0.093,41.9
Equatorial Guinea,1996,66.5,0.0978,43.1
Equatorial Guinea,1997,150,0.102,41.8
Equatorial Guinea,1998,23.8,0.104,41.5
Equatorial Guinea,1999,25.7,0.104,41.6
Equatorial Guinea,2000,18.2,0.103,41.5
Equatorial Guinea,2001,63.4,0.104,40.2
Equatorial Guinea,2002,19.5,0.103,38.6
Equatorial Guinea,2003,14,0.1,38.8
Equatorial Guinea,2004,38,0.0962,36.6
Equatorial Guinea,2005,9.78,0.0922,37.1
Equatorial Guinea,2006,1.25,0.0934,38.8
Equatorial Guinea,2007,13.1,0.0934,39.2
Equatorial Guinea,2008,12.3,0.0917,39.6
Equatorial Guinea,2009,-8.09,0.0886,41.5
Equatorial Guinea,2010,-1.32,0.0854,42.8
Equatorial Guinea,2011,4.98,0.0878,42.3
Equatorial Guinea,2012,3.19,0.0891,42.4
Equatorial Guinea,2013,-4.92,0.0887,42.7
Eritrea,1990,0.696,0.102,231
Eritrea,1991,11.2,0.0994,229
Eritrea,1992,10.9,0.098,219
Eritrea,1993,12.9,0.0979,210
Eritrea,1994,20.9,0.0996,208
Eritrea,1995,2.29,0.103,206
Eritrea,1996,9.08,0.107,207
Eritrea,1997,7.8,0.113,210
Eritrea,1998,1.87,0.119,215
Eritrea,1999,0.0989,0.125,219
Eritrea,2000,-12.4,0.131,226
Eritrea,2001,8.67,0.136,235
Eritrea,2002,2.91,0.14,246
Eritrea,2003,-2.74,0.141,256
Eritrea,2004,1.36,0.141,249
Eritrea,2005,2.49,0.139,259
Eritrea,2006,-0.94,0.133,266
Eritrea,2007,1.33,0.127,273
Eritrea,2008,-9.86,0.121,281
Eritrea,2009,3.8,0.115,287
Eritrea,2010,2.13,0.11,295
Eritrea,2011,8.62,0.104,302
Eritrea,2012,6.77,0.0982,311
Eritrea,2013,1.04,0.0941,320
Estonia,1990,-2.79,0.0696,471
Estonia,1991,-10.3,0.0695,502
Estonia,1992,-13.8,0.0693,523
Estonia,1993,-8.07,0.0691,586
Estonia,1994,-2.02,0.0689,651
Estonia,1995,4.12,0.0691,628
Estonia,1996,4.33,0.07,548
Estonia,1997,10.3,0.0709,537
Estonia,1998,5.16,0.0717,542
Estonia,1999,-0.0508,0.0725,504
Estonia,2000,7.85,0.0731,481
Estonia,2001,6.55,0.0741,483
Estonia,2002,7.49,0.0753,454
Estonia,2003,5.47,0.0764,421
Estonia,2004,8.75,0.0766,401
Estonia,2005,10.7,0.0758,377
Estonia,2006,10.2,0.0736,363
Estonia,2007,7.58,0.0704,363
Estonia,2008,-4.1,0.0663,325
Estonia,2009,-14.1,0.0621,307
Estonia,2010,3.31,0.0582,277
Estonia,2011,8.23,0.0544,272
Estonia,2012,7.55,0.051,275
Estonia,2013,1.39,0.048,251
Eswatini,1990,1.69,0.114,78.3
Eswatini,1991,0.732,0.114,81.8
Eswatini,1992,-0.284,0.114,82.6
Eswatini,1993,2.24,0.114,81.7
Eswatini,1994,4.8,0.115,85.6
Eswatini,1995,5.12,0.117,91.8
Eswatini,1996,3.52,0.119,102
Eswatini,1997,3.75,0.122,105
Eswatini,1998,3.32,0.126,115
Eswatini,1999,3.69,0.129,123
Eswatini,2000,2.3,0.131,136
Eswatini,2001,1.69,0.13,147
Eswatini,2002,2.75,0.127,155
Eswatini,2003,2.47,0.125,161
Eswatini,2004,2.52,0.123,165
Eswatini,2005,3.16,0.123,169
Eswatini,2006,2.9,0.121,170
Eswatini,2007,14.2,0.121,172
Eswatini,2008,3.5,0.122,175
Eswatini,2009,1.64,0.122,178
Eswatini,2010,2.28,0.123,180
Eswatini,2011,0.525,0.121,180
Eswatini,2012,2.08,0.12,182
Eswatini,2013,2.96,0.118,184
Ethiopia,1990,2.61,0.102,4540
Ethiopia,1991,-7.22,0.102,4620
Ethiopia,1992,-8.78,0.102,4710
Ethiopia,1993,13,0.102,4810
Ethiopia,1994,3.06,0.102,4950
Ethiopia,1995,6.01,0.102,5110
Ethiopia,1996,12.3,0.103,5110
Ethiopia,1997,3.03,0.105,5200
Ethiopia,1998,-3.57,0.107,5210
Ethiopia,1999,4.99,0.108,5210
Ethiopia,2000,5.83,0.109,5290
Ethiopia,2001,7.99,0.108,5250
Ethiopia,2002,1.17,0.107,5200
Ethiopia,2003,-2.54,0.106,5210
Ethiopia,2004,13.1,0.105,5280
Ethiopia,2005,11.3,0.105,5390
Ethiopia,2006,10.3,0.105,5490
Ethiopia,2007,10.9,0.106,5580
Ethiopia,2008,10.3,0.108,5670
Ethiopia,2009,8.28,0.11,5780
Ethiopia,2010,12,0.112,5940
Ethiopia,2011,10.8,0.114,6090
Ethiopia,2012,8.26,0.115,6220
Ethiopia,2013,9.41,0.117,6370
Fiji,1990,2.52,0.0999,82.3
Fiji,1991,2.92,0.1,85.2
Fiji,1992,3.22,0.101,86.9
Fiji,1993,2.66,0.103,89.8
Fiji,1994,5.18,0.104,92.4
Fiji,1995,2.59,0.106,94.9
Fiji,1996,4.93,0.107,97
Fiji,1997,-2.06,0.108,99.1
Fiji,1998,1.42,0.109,95.6
Fiji,1999,8.81,0.109,101
Fiji,2000,-1.84,0.109,102
Fiji,2001,1.67,0.107,102
Fiji,2002,2.72,0.104,101
Fiji,2003,0.489,0.101,101
Fiji,2004,4.87,0.0971,99
Fiji,2005,0.494,0.0941,98.5
Fiji,2006,1.64,0.0933,97.7
Fiji,2007,-0.841,0.0934,96.7
